Tue May 30 15:33:59 2017    log_profile.txt

         54517750 function calls (54291806 primitive calls) in 33.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16/12    0.000    0.000    0.033    0.003 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:1997(_get_tick)
        4    0.000    0.000    0.033    0.008 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/spines.py:166(cla)
        1    0.000    0.000    0.033    0.033 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:1(<module>)
        1    0.000    0.000    0.033    0.033 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:253(new_figure_manager)
        1    0.001    0.001    0.032    0.032 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:262(new_figure_manager_given_figure)
    16/12    0.000    0.000    0.031    0.003 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:1672(_get_tick)
        1    0.011    0.011    0.030    0.030 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:380(__init__)
        1    0.000    0.000    0.029    0.029 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/rcsetup.py:15(<module>)
       11    0.000    0.000    0.027    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/artist.py:1476(kwdoc)
        1    0.000    0.000    0.027    0.027 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/http/client.py:69(<module>)
        1    0.000    0.000    0.027    0.027 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_axes.py:1(<module>)
      686    0.007    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
        1    0.000    0.000    0.026    0.026 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:559(_init_axis)
      384    0.003    0.000    0.026    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/markers.py:184(_recache)
      508    0.001    0.000    0.026    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/re.py:278(_compile)
        1    0.000    0.000    0.026    0.026 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/fontconfig_pattern.py:7(<module>)
      103    0.000    0.000    0.025    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/re.py:222(compile)
       96    0.001    0.000    0.024    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_compile.py:531(compile)
       11    0.001    0.000    0.023    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/artist.py:1186(pprint_setters)
        1    0.000    0.000    0.022    0.022 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:61(<module>)
    10000    0.009    0.000    0.020    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:9(__init__)
       22    0.000    0.000    0.020    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:1093(rc_params_from_file)
    30000    0.020    0.000    0.020    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:18(__init__)
   110024    0.019    0.000    0.019    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.019    0.019 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:406(__init__)
        1    0.000    0.000    0.019    0.019 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backend_bases.py:2727(__init__)
        1    0.018    0.018    0.019    0.019 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/backends/backend_macosx.py:409(_init_toolbar)
        1    0.000    0.000    0.018    0.018 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/inspect.py:27(<module>)
       11    0.003    0.000    0.018    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/artist.py:1103(_get_setters_and_targets)
        1    0.000    0.000    0.017    0.017 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/testing/__init__.py:7(<module>)
        4    0.000    0.000    0.016    0.004 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/spines.py:154(register_axis)
        1    0.000    0.000    0.016    0.016 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/textpath.py:3(<module>)
     1036    0.002    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:874(__setitem__)
        1    0.000    0.000    0.016    0.016 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/widgets.py:10(<module>)
      192    0.001    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/markers.py:233(set_marker)
        1    0.000    0.000    0.016    0.016 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/style/__init__.py:1(<module>)
      2/1    0.000    0.000    0.016    0.016 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:1740(inner)
        1    0.000    0.000    0.016    0.016 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_axes.py:5663(hist)
        1    0.000    0.000    0.015    0.015 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/email/parser.py:5(<module>)
      519    0.004    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/inspect.py:1052(getfullargspec)
        1    0.000    0.000    0.015    0.015 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/style/core.py:1(<module>)
        1    0.000    0.000    0.015    0.015 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/email/feedparser.py:20(<module>)
        1    0.000    0.000    0.015    0.015 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/contour.py:4(<module>)
        1    0.000    0.000    0.015    0.015 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/artist.py:1(<module>)
       22    0.003    0.000    0.014    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:1016(_rc_params_in_file)
   136/96    0.000    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/spines.py:404(get_spine_transform)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/style/core.py:132(load_base_library)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/style/core.py:164(read_style_directory)
   144/96    0.000    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/spines.py:148(_ensure_position_is_set)
        8    0.000    0.000    0.014    0.002 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/spines.py:359(set_position)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/unittest/__init__.py:45(<module>)
       96    0.000    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_parse.py:819(parse)
      192    0.000    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/markers.py:208(set_fillstyle)
    16/14    0.000    0.000    0.013    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:407(_get_tick2line)
    16/14    0.000    0.000    0.013    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axis.py:530(_get_tick1line)
      558    0.002    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/inspect.py:2146(_signature_from_callable)
   210/96    0.001    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_parse.py:429(_parse_sub)
        1    0.000    0.000    0.012    0.012 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/email/message.py:5(<module>)
