Tue May 30 15:47:07 2017    log_profile.txt

         49575723 function calls (49349779 primitive calls) in 32.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.016    0.016 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/unittest/__init__.py:45(<module>)
      519    0.004    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/inspect.py:1052(getfullargspec)
        1    0.000    0.000    0.015    0.015 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/style/core.py:1(<module>)
        1    0.000    0.000    0.015    0.015 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/inspect.py:27(<module>)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/contour.py:4(<module>)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/email/parser.py:5(<module>)
      2/1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:1740(inner)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_axes.py:5663(hist)
       22    0.003    0.000    0.014    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:1016(_rc_params_in_file)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/style/core.py:132(load_base_library)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/style/core.py:164(read_style_directory)
        1    0.000    0.000    0.014    0.014 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/email/feedparser.py:20(<module>)
